,POS,NEG,NEU
Palena,8,26,66
Hualaihué,8,6,20
Futaleufú,7,4,18
Chaitén,8,6,33
San Pablo,7,16,32
San Juan de la Costa,7,14,22
Río Negro,9,24,34
Puyehue,12,17,39
Purranque,7,19,38
Puerto Octay,11,21,51
Osorno,28,100,191
Puerto Varas,24,45,152
Puerto Montt,47,144,287
Maullín,10,24,39
Los Muermos,9,18,31
Llanquihue,21,50,115
Frutillar,13,24,61
Fresia,14,18,41
Cochamó,8,14,30
Calbuco,13,35,56
Quinchao,12,23,33
Quellón,14,57,101
Quemchi,12,22,27
Queilén,1,1,3
Puqueldón,9,20,20
Dalcahue,14,35,60
Curaco de Vélez,10,19,25
Chonchi,14,26,60
Castro,18,62,148
Ancud,23,61,122
